Entry	Entry Name	Protein names	Organism	Length	Gene Ontology (molecular function)	Function [CC]	Gene Names
Q16795	NDUA9_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit)	Homo sapiens (Human)	377	NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]; protein-containing complex binding [GO:0044877]	FUNCTION: Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Required for proper complex I assembly (PubMed:28671271). Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone. {ECO:0000269|PubMed:22114105, ECO:0000269|PubMed:27626371, ECO:0000269|PubMed:28671271}.	NDUFA9 NDUFS2L
Q16816	PHKG1_HUMAN	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform (PHK-gamma-M) (EC 2.7.11.19) (Phosphorylase kinase subunit gamma-1) (Serine/threonine-protein kinase PHKG1) (EC 2.7.11.1, EC 2.7.11.26)	Homo sapiens (Human)	387	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; histone H2AS1 kinase activity [GO:0044024]; phosphorylase kinase activity [GO:0004689]; protein serine kinase activity [GO:0106310]; tau-protein kinase activity [GO:0050321]	FUNCTION: Catalytic subunit of the phosphorylase b kinase (PHK), which mediates the neural and hormonal regulation of glycogen breakdown (glycogenolysis) by phosphorylating and thereby activating glycogen phosphorylase. In vitro, phosphorylates PYGM, TNNI3, MAPT/TAU, GAP43 and NRGN/RC3 (By similarity). {ECO:0000250}.	PHKG1 PHKG
Q16828	DUS6_HUMAN	Dual specificity protein phosphatase 6 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase PYST1) (Mitogen-activated protein kinase phosphatase 3) (MAP kinase phosphatase 3) (MKP-3)	Homo sapiens (Human)	381	MAP kinase tyrosine phosphatase activity [GO:0033550]; MAP kinase tyrosine/serine/threonine phosphatase activity [GO:0017017]; myosin phosphatase activity [GO:0017018]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; protein tyrosine/threonine phosphatase activity [GO:0008330]	FUNCTION: Inactivates MAP kinases. Has a specificity for the ERK family (PubMed:9858808). Plays an important role in alleviating chronic postoperative pain. Necessary for the normal dephosphorylation of the long-lasting phosphorylated forms of spinal MAPK1/3 and MAP kinase p38 induced by peripheral surgery, which drives the resolution of acute postoperative allodynia (By similarity). Also important for dephosphorylation of MAPK1/3 in local wound tissue, which further contributes to resolution of acute pain (By similarity). Promotes cell differentiation by regulating MAPK1/MAPK3 activity and regulating the expression of AP1 transcription factors (PubMed:29043977). {ECO:0000250|UniProtKB:Q9DBB1, ECO:0000269|PubMed:29043977, ECO:0000269|PubMed:8670865}.	DUSP6 MKP3 PYST1
Q16831	UPP1_HUMAN	Uridine phosphorylase 1 (UPase 1) (UrdPase 1) (EC 2.4.2.3)	Homo sapiens (Human)	310	deoxyuridine phosphorylase activity [GO:0047847]; identical protein binding [GO:0042802]; thymidine phosphorylase activity [GO:0009032]; uridine phosphorylase activity [GO:0004850]	FUNCTION: Catalyzes the reversible phosphorylytic cleavage of uridine to uracil and ribose-1-phosphate which can then be utilized as carbon and energy sources or in the rescue of pyrimidine bases for nucleotide synthesis (PubMed:7488099). Shows broad substrate specificity and can also accept deoxyuridine and other analogous compounds (Probable). {ECO:0000269|PubMed:7488099, ECO:0000305|PubMed:13737038}.	UPP1 UP
Q16836	HCDH_HUMAN	Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial (HCDH) (EC 1.1.1.35) (Medium and short-chain L-3-hydroxyacyl-coenzyme A dehydrogenase) (Short-chain 3-hydroxyacyl-CoA dehydrogenase)	Homo sapiens (Human)	314	3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857]; identical protein binding [GO:0042802]; NAD+ binding [GO:0070403]; transferase activity [GO:0016740]	FUNCTION: Mitochondrial fatty acid beta-oxidation enzyme that catalyzes the third step of the beta-oxidation cycle for medium and short-chain 3-hydroxy fatty acyl-CoAs (C4 to C10) (PubMed:10231530, PubMed:11489939, PubMed:16725361). Plays a role in the control of insulin secretion by inhibiting the activation of glutamate dehydrogenase 1 (GLUD1), an enzyme that has an important role in regulating amino acid-induced insulin secretion (By similarity). Plays a role in the maintenance of normal spermatogenesis through the reduction of fatty acid accumulation in the testes (By similarity). {ECO:0000250|UniProtKB:Q61425, ECO:0000269|PubMed:10231530, ECO:0000269|PubMed:11489939, ECO:0000269|PubMed:16725361}.	HADH HAD HAD1 HADHSC SCHAD
Q16842	SIA4B_HUMAN	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 2 (Alpha 2,3-ST 2) (Beta-galactoside alpha-2,3-sialyltransferase 2) (EC 2.4.3.4) (Gal-NAc6S) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (Monosialoganglioside sialyltransferase) (EC 2.4.3.2) (ST3Gal II) (ST3GalII) (ST3GalA.2) (Sialyltransferase 4B) (SIAT4-B)	Homo sapiens (Human)	350	beta-D-galactosyl-(1->3)-N-acetyl-beta-D-galactosaminide alpha-2,3- sialyltransferase [GO:0047288]; beta-galactoside (CMP) alpha-2,3-sialyltransferase activity [GO:0003836]; protein homodimerization activity [GO:0042803]; sialyltransferase activity [GO:0008373]	FUNCTION: A beta-galactoside alpha2-3 sialyltransferase primarily involved in terminal sialylation of ganglio and globo series glycolipids (PubMed:8920913, PubMed:9266697). Catalyzes the transfer of sialic acid (N-acetyl-neuraminic acid; Neu5Ac) from the nucleotide sugar donor CMP-Neu5Ac onto acceptor Galbeta-(1->3)-GalNAc-terminated glycoconjugates through an alpha2-3 linkage (PubMed:25916169, PubMed:8920913, PubMed:9266697). Sialylates GM1/GM1a, GA1/asialo-GM1 and GD1b gangliosides to form GD1a, GM1b and GT1b, respectively (PubMed:8920913, PubMed:9266697). Together with ST3GAL3, primarily responsible for biosynthesis of brain GD1a and GT1b that function as ligands for myelin-associated glycoprotein MAG on axons, regulating MAG expression and axonal myelin stability and regeneration (By similarity). Via GT1b regulates TLR2 signaling in spinal cord microglia in response to nerve injury (By similarity). Responsible for the sialylation of the pluripotent stem cell- and cancer stem cell-associated antigen SSEA3, forming SSEA4 (PubMed:12716912). Sialylates with low efficiency asialofetuin, presumably onto O-glycosidically linked Galbeta-(1->3)-GalNAc-O-Ser (PubMed:25916169, PubMed:9266697). {ECO:0000250|UniProtKB:Q11204, ECO:0000269|PubMed:12716912, ECO:0000269|PubMed:25916169, ECO:0000269|PubMed:8920913, ECO:0000269|PubMed:9266697}.	ST3GAL2 SIAT4B
Q16854	DGUOK_HUMAN	Deoxyguanosine kinase, mitochondrial (EC 2.7.1.113) (Deoxyadenosine kinase, mitochondrial) (EC 2.7.1.76)	Homo sapiens (Human)	277	ATP binding [GO:0005524]; deoxyadenosine kinase activity [GO:0004136]; deoxyguanosine kinase activity [GO:0004138]	FUNCTION: Phosphorylates deoxyguanosine and deoxyadenosine in the mitochondrial matrix, with the highest efficiency for deoxyguanosine (PubMed:11687801, PubMed:17073823, PubMed:23043144, PubMed:8692979, PubMed:8706825). In non-replicating cells, where cytosolic dNTP synthesis is down-regulated, mtDNA synthesis depends solely on DGUOK and TK2. Phosphorylates certain nucleoside analogs (By similarity). Widely used as target of antiviral and chemotherapeutic agents. {ECO:0000250|UniProtKB:Q9QX60, ECO:0000269|PubMed:11687801, ECO:0000269|PubMed:17073823, ECO:0000269|PubMed:23043144, ECO:0000269|PubMed:8692979, ECO:0000269|PubMed:8706825}.	DGUOK DGK
Q16890	TPD53_HUMAN	Tumor protein D53 (hD53) (Tumor protein D52-like 1)	Homo sapiens (Human)	204	identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]		TPD52L1
Q19T08	ECSCR_HUMAN	Endothelial cell-specific chemotaxis regulator (Apoptosis regulator through modulating IAP expression) (ARIA) (Endothelial cell-specific molecule 2)	Homo sapiens (Human)	205		FUNCTION: Regulates endothelial chemotaxis and tube formation. Has a role in angiogenesis and apoptosis via modulation of the actin cytoskeleton and facilitation of proteasomal degradation of the apoptosis inhibitors BIRC3/IAP1 and BIRC2/IAP2. {ECO:0000269|PubMed:18556573, ECO:0000269|PubMed:19416853}.	ECSCR ECSM2
Q1HG43	DOXA1_HUMAN	Dual oxidase maturation factor 1 (Dual oxidase activator 1) (Numb-interacting protein)	Homo sapiens (Human)	343	enzyme binding [GO:0019899]	FUNCTION: May be required for the maturation and the transport from the endoplasmic reticulum to the plasma membrane of functional DUOX1. {ECO:0000305|PubMed:16651268}.	DUOXA1 NIP NUMBIP
Q1HG44	DOXA2_HUMAN	Dual oxidase maturation factor 2 (Dual oxidase activator 2)	Homo sapiens (Human)	320	enzyme binding [GO:0019899]	FUNCTION: Required for the maturation and the transport from the endoplasmic reticulum to the plasma membrane of functional DUOX2. May play a role in thyroid hormone synthesis. {ECO:0000269|PubMed:16651268}.	DUOXA2
Q1W6H9	F110C_HUMAN	Protein FAM110C	Homo sapiens (Human)	321	alpha-tubulin binding [GO:0043014]	FUNCTION: May play a role in microtubule organization. May play a role in cell spreading and cell migration of epithelial cells; the function may involve the AKT1 signaling pathway. {ECO:0000269|PubMed:17499476, ECO:0000269|PubMed:19698782}.	FAM110C
Q29980	MICB_HUMAN	MHC class I polypeptide-related sequence B (MIC-B)	Homo sapiens (Human)	383	natural killer cell lectin-like receptor binding [GO:0046703]; peptide antigen binding [GO:0042605]; signaling receptor binding [GO:0005102]	FUNCTION: Widely expressed membrane-bound protein which acts as a ligand to stimulate an activating receptor KLRK1/NKG2D, expressed on the surface of essentially all human natural killer (NK), gammadelta T and CD8+ alphabeta T-cells (PubMed:11491531, PubMed:11777960). Up-regulated in stressed conditions, such as viral and bacterial infections or DNA damage response, serves as signal of cellular stress, and engagement of KLRK1/NKG2D by MICA triggers NK-cells resulting in a range of immune effector functions, such as cytotoxicity and cytokine production. {ECO:0000269|PubMed:11491531, ECO:0000269|PubMed:11777960, ECO:0000269|PubMed:9497295}.	MICB PERB11.2
Q29983	MICA_HUMAN	MHC class I polypeptide-related sequence A (MIC-A)	Homo sapiens (Human)	383	natural killer cell lectin-like receptor binding [GO:0046703]; peptide antigen binding [GO:0042605]; receptor ligand activity [GO:0048018]; signaling receptor binding [GO:0005102]	FUNCTION: Widely expressed membrane-bound protein which acts as a ligand to stimulate an activating receptor KLRK1/NKG2D, expressed on the surface of essentially all human natural killer (NK), gammadelta T and CD8 alphabeta T-cells (PubMed:11491531, PubMed:11777960). Up-regulated in stressed conditions, such as viral and bacterial infections or DNA damage response, serves as signal of cellular stress, and engagement of KLRK1/NKG2D by MICA triggers NK-cells resulting in a range of immune effector functions, such as cytotoxicity and cytokine production (PubMed:10426993). {ECO:0000269|PubMed:10426993, ECO:0000269|PubMed:11224526, ECO:0000269|PubMed:11491531, ECO:0000269|PubMed:11777960, ECO:0000269|PubMed:9497295}.	MICA PERB11.1
Q2HXU8	CL12B_HUMAN	C-type lectin domain family 12 member B (Macrophage antigen H)	Homo sapiens (Human)	276	carbohydrate binding [GO:0030246]; protein phosphatase binding [GO:0019903]; signaling receptor inhibitor activity [GO:0030547]	FUNCTION: Inhibitory receptor postulated to negatively regulate immune and non-immune functions (PubMed:17562706, PubMed:34310951). Upon phosphorylation, recruits SH2 domain-containing PTPN6 and PTPN11 phosphatases to its ITIM motif and antagonizes activation signals (PubMed:17562706, PubMed:34310951). Although it inhibits KLRK1/NKG2D-mediated signaling, it does not bind known ligands of KLRK1/NKG2D and therefore is not its inhibitory counterpart (PubMed:17562706). May limit activation of myeloid cell subsets in response to infection or tissue inflammation (PubMed:17562706). May protect target cells against natural killer cell-mediated lysis (PubMed:17562706). May negatively regulate cell cycle and differentiation of melanocytes via inactivation of STAT3 (PubMed:34310951). {ECO:0000269|PubMed:17562706, ECO:0000269|PubMed:34310951}.	CLEC12B UNQ5782/PRO16089
Q2I0M4	LRC26_HUMAN	Leucine-rich repeat-containing protein 26 (BK channel auxiliary gamma subunit LRRC26) (Cytokeratin-associated protein in cancer)	Homo sapiens (Human)	334	potassium channel activator activity [GO:0099104]; potassium channel regulator activity [GO:0015459]; transmembrane transporter binding [GO:0044325]; voltage-gated potassium channel activity [GO:0005249]	FUNCTION: Auxiliary protein of the large-conductance, voltage and calcium-activated potassium channel (BK alpha). Required for the conversion of BK alpha channels from a high-voltage to a low-voltage activated channel type in non-excitable cells. These are characterized by negative membrane voltages and constant low levels of calcium. {ECO:0000269|PubMed:20613726, ECO:0000269|PubMed:22547800}.	LRRC26 CAPC
Q2I0M5	RSPO4_HUMAN	R-spondin-4 (Roof plate-specific spondin-4) (hRspo4)	Homo sapiens (Human)	234	heparin binding [GO:0008201]	FUNCTION: Activator of the canonical Wnt signaling pathway by acting as a ligand for LGR4-6 receptors (PubMed:29769720). Upon binding to LGR4-6 (LGR4, LGR5 or LGR6), LGR4-6 associate with phosphorylated LRP6 and frizzled receptors that are activated by extracellular Wnt receptors, triggering the canonical Wnt signaling pathway to increase expression of target genes. Also regulates the canonical Wnt/beta-catenin-dependent pathway and non-canonical Wnt signaling by acting as an inhibitor of ZNRF3, an important regulator of the Wnt signaling pathway (PubMed:21727895, PubMed:21909076). {ECO:0000269|PubMed:21727895, ECO:0000269|PubMed:21909076, ECO:0000269|PubMed:29769720}.	RSPO4 C20orf182
Q2KHN1	RN151_HUMAN	RING finger protein 151	Homo sapiens (Human)	245	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	FUNCTION: May be involved in acrosome formation of spermatids. {ECO:0000250|UniProtKB:Q9CQ29}.	RNF151
Q2KHT4	GSG1_HUMAN	Germ cell-specific gene 1 protein	Homo sapiens (Human)	349		FUNCTION: May cause the redistribution of PAPOLB from the cytosol to the endoplasmic reticulum. {ECO:0000250}.	GSG1 UNQ709/PRO1360
Q2M2E3	ODFP4_HUMAN	Outer dense fiber protein 4 (Outer dense fiber of sperm tails protein 4) (Testis-specific protein oppo 1) (hOPPO1)	Homo sapiens (Human)	257		FUNCTION: Component of the outer dense fibers (ODF) of spermatozoa which could be involved in sperm tail structure, sperm movement and general organization of cellular cytoskeleton. {ECO:0000250}.	ODF4 OPPO1
Q2M3R5	S35G1_HUMAN	Solute carrier family 35 member G1 (Partner of STIM1) (Transmembrane protein 20)	Homo sapiens (Human)	365		FUNCTION: May play a role in intracellular calcium sensing and homeostasis. May act as a negative regulator of plasma membrane calcium-transporting ATPases preventing calcium efflux from the cell. {ECO:0000269|PubMed:22084111}.	SLC35G1 C10orf60 POST TMEM20
Q2MKA7	RSPO1_HUMAN	R-spondin-1 (Roof plate-specific spondin-1) (hRspo1)	Homo sapiens (Human)	263	G protein-coupled receptor binding [GO:0001664]; heparin binding [GO:0008201]; signaling receptor binding [GO:0005102]	FUNCTION: Activator of the canonical Wnt signaling pathway by acting as a ligand for LGR4-6 receptors (PubMed:29769720). Upon binding to LGR4-6 (LGR4, LGR5 or LGR6), LGR4-6 associate with phosphorylated LRP6 and frizzled receptors that are activated by extracellular Wnt receptors, triggering the canonical Wnt signaling pathway to increase expression of target genes. Also regulates the canonical Wnt/beta-catenin-dependent pathway and non-canonical Wnt signaling by acting as an inhibitor of ZNRF3, an important regulator of the Wnt signaling pathway. Acts as a ligand for frizzled FZD8 and LRP6. May negatively regulate the TGF-beta pathway. Has a essential roles in ovary determination. Regulates Wnt signaling by antagonizing DKK1/KREM1-mediated internalization of LRP6 through an interaction with KREM1 (PubMed:17804805). {ECO:0000269|PubMed:16109882, ECO:0000269|PubMed:17804805, ECO:0000269|PubMed:21727895, ECO:0000269|PubMed:21909076, ECO:0000269|PubMed:22575959, ECO:0000269|PubMed:22615920, ECO:0000269|PubMed:22815884, ECO:0000269|PubMed:23756652, ECO:0000269|PubMed:23809763, ECO:0000269|PubMed:29769720}.	RSPO1
